"filename","type","name","set","price","back_filename"
"singles_0585.jpg","singles","Goldeen #20 - Masterball Foil - Near Mint","Prismatic Evolutions","3","singles_0586.jpg"
"singles_0587.jpg","singles","Precious Trolley #185 - Near Mint","Surging Sparks","2","singles_0588.jpg"
"singles_0589.jpg","singles","Precious Trolley #185 - Near Mint","Surging Sparks","2","singles_0590.jpg"
"singles_0593.jpg","singles","Precious Trolley #185 - Near Mint","Surging Sparks","2","singles_0594.jpg"
"singles_0595.jpg","singles","Centiskorch VMAX #310/190 - Near Mint","Shiny Star V","3","singles_0596.jpg"
"singles_0597.jpg","singles","Magcargo ex #080/066 - Near Mint","Crimson Haze","3","singles_0598.jpg"
"singles_0599.jpg","singles","Pidgeot ex #335/190 - Near Mint","Shiny Treasure ex","3","singles_0600.jpg"
"singles_0601.jpg","singles","Wigglytuff ex #336/190 - Near Mint","Shiny Treasure ex","5","singles_0602.jpg"
"singles_0603.jpg","singles","Great Tusk ex #330/190 - Near Mint","Shiny Treasure ex","2","singles_0604.jpg"
"singles_0605.jpg","singles","Boltund V #313/190 - Near Mint","Shiny Star V","3","singles_0606.jpg"
"singles_0607.jpg","singles","Eldegoss V #306/190 - Near Mint","Shiny Star V","3","singles_0608.jpg"
"singles_0609.jpg","singles","Eldegoss V #306/190 - Near Mint","Shiny Star V","3","singles_0610.jpg"
"singles_0611.jpg","singles","Yveltal #117/190 - Near Mint","Shiny Star V","2","singles_0612.jpg"
"singles_0613.jpg","singles","Kyogre #036/190 - Near Mint","Shiny Star V","2","singles_0614.jpg"
"singles_0193.jpg","singles","Raikou #061/L-P - Lightly Played","Legend","20","singles_0194.jpg"
"singles_0245.jpg","singles","Kabutops #9 - 1st Edition Holofoil - Heavily Played","Fossil","35","singles_0246.jpg"
"singles_0219.jpg","singles","Azumarill #2 - Lightly Played","Neo Genesis","20","singles_0220.jpg"
"singles_0287.jpg","singles","Hitmonchan #7 - Holofoil - Damaged","Base","6","singles_0288.jpg"
"singles_0291.jpg","singles","Poliwrath #13 - Holofoil - Damaged","Base","7","singles_0292.jpg"
"singles_0303.jpg","singles","Dark Gyarados #25 - Lightly Played","Team Rocket","12","singles_0304.jpg"
"singles_0317.jpg","singles","Kangaskhan #5 - 1st Edition Holofoil - Damaged","Jungle","6","singles_0318.jpg"
"singles_0321.jpg","singles","Erika's Vileplume No. 045 - Holofoil - Lightly Played","Gym Heroes","25","singles_0322.jpg"
"singles_0197.jpg","singles","Alolan Exeggutor ex #089/064 - Near Mint","Paradise Dragona","20","singles_0198.jpg"
"singles_0213.jpg","singles","Grusha #090/071 - Near Mint","Scarlet ex","10","singles_0214.jpg"
"singles_0223.jpg","singles","Melmetal V #47 - Near Mint","Pokémon GO","1","singles_0224.jpg"
"singles_0333.jpg","singles","Mega Diancie ex #41 - Near Mint","Phantasmal Flames","1","singles_0334.jpg"
"singles_0335.jpg","singles","Mega Diancie ex #41 - Near Mint","Phantasmal Flames","1","singles_0336.jpg"
"img426.jpg","graded","Dragonite #149 Holofoil - PSA 9","Fossil Set","750",""
"img439.jpg","graded","Tohoku's Pikachu #260/SV-P - PSA 10","Special Box PC","525",""
"img604.jpg","graded","Delta Latios #12 Mitsuhiro Arita - PSA AUTO 10","Holon Phantoms","1500",""
"img457.jpg","graded","Gyarados #6/102 Square Cut - BGS 9","Base","1000",""
"img600.jpg","graded","Tyranitar V #077/070 - CGC Perfect 10","Single Strike Master","500",""
"img601.jpg","graded","Charizard VSTAR #118/100 - CGC Perfect 10","Star Birth","750",""
"img602.jpg","graded","Koraidon ex #103/078 - CGC Perfect 10","Scarlet ex","400",""
"img476.jpg","graded","Blastoise #09 - CGC Perfect 10","Topps Chrome","2000",""
"img478.jpg","graded","Umbreon 068/092 Holofoil - CGC 8.5","The Town on No Map","1750",""
"img516.jpg","graded","Victini 265/SV-P - PSA 9","BWR Event Prize","500",""
"img452.jpg","graded","Nachtara #32/144 - PSA 9","Skyridge","450",""
"img444.jpg","graded","M Rayquaza EX #76/108 - PSA 6","Roaring Skies","100",""
"img453.jpg","graded","Guzma #056/051 - PSA 9","Darkness That Consumes Light","80",""
"img462.jpg","graded","Ampharos #1/127 - BGS 8","Platinum","70",""
"img464.jpg","graded","Yveltal #018/032 - BGS 9.5","Pokeyun Collection","50",""
"img465.jpg","graded","Sentret #022/L-P - BGS 9.5","Participation Prize","130",""
"img466.jpg","graded","Darkness Energy #XYP - BGS 9.5","Golden Present Campaign","300",""
"img467.jpg","graded","Elesa's Sparkle #246/172 - BGS 9.5","VSTAR Universe","30",""
"img469.jpg","graded","Candice #113/098 - BGS 9.5","Paradigm Trigger","40",""
"img526.jpg","graded","Galarian Zapdos #188/172 - PSA 10","VSTAR Universe","35",""
"img542.jpg","graded","Jirachi V #025/067 - PSA 10","Time Gazer","50",""
"img563.jpg","graded","Latios #070/064 - CGC Pristine 10","Paradise Dragona","50",""
"img564.jpg","graded","Galarian Zapdos #188/172 - CGC Pristine 10","VSTAR Universe","30",""
"img566.jpg","graded","Phione #071/066 - CGC Pristine 10","Crimson Haze","30",""
"img572.jpg","graded","Greninja Illustration #339/S-P - CGC Pristine 10","Illustration Contest","120",""
"img574.jpg","graded","Umbreon ex 093/187 - CGC Pristine 10","Terastal Festival","30",""
"img575.jpg","graded","Cresselia #071/064 - CGC Pristine 10","Night Wanderer","30",""
"img576.jpg","graded","Leafeon VSTAR #269/S-P - CGC Pristine 10","SWSH Promos","30",""
"img579.jpg","graded","Radiant Greninja #033/172 - CGC Pristine 10","VSTAR Universe","35",""
"img580.jpg","graded","Vaporeon #134/165 Pokeball Foil - CGC Pristine 10","151","20",""
"img582.jpg","graded","Mew #002/028 - CGC Pristine 10","Celebrations 25","90",""
"img583.jpg","graded","Blastoise #023/095 - CGC Pristine 10","Tag Bolt","35",""
"img584.jpg","graded","Umbreon #070/108 - CGC 10","Ruler of the Black Flame","30",""
"img586.jpg","graded","Charizard #012/100 - CGC 10","Amazing Volt Tackle","30",""
"img587.jpg","graded","Jirachi #034/052 - CGC 10","Dark Order","25",""
"img588.jpg","graded","Eevee #031/SV-P - CGC 10","SV Promos","30",""
"img589.jpg","graded","Gyarados #028/095 - CGC 10","Tag Bolt","30",""
"img598.jpg","graded","Poliwhirl #176/165 - CGC 10","151","40",""
"img599.jpg","graded","Vaporeon V #015/069 - CGC 10","Eevee Heroes","20",""
"img592.jpg","graded","Bulbasaur #166/165 - CGC 9","151","30",""
"img593.jpg","graded","Venusaur VMAX #002/021 - CGC 9","Venusaur VMAX Starter Set","15",""
"img596.jpg","graded","Mewtwo VSTAR #031/71 - CGC 9.5","Pokemon GO","15",""
"img475.jpg","graded","Toxtricity ex #215 - CGC 9","Illustration Contest","10",""
"img480.jpg","graded","Chansey Butterfree Vileplume #01 - CGC Pristine 10","Bandai Sealdass","200",""
"img481.jpg","graded","Arbok ex #187/165 - CGC Pristine 10","151","30",""
"img484.jpg","graded","Archaludon ex #241/191 - CGC 10","Surging Sparks","30",""
"img485.jpg","graded","Carmine #217/167 - CGC 10","Twilight Masquerade","120",""
"img486.jpg","graded","Toedscool #080/078 - CGC 9.5","Violet ex","10",""
"img490.jpg","graded","Raichu 27/144 - CGC 10","Skyridge","175",""
"img492.jpg","graded","Extra Rule #03 - CGC 10","Vending Series","70",""
"img493.jpg","graded","Drowzee Gastly Onix Poliwag #03 - CGC 9.5","Bandai Sealdass","80",""
"img494.jpg","graded","Lapras Seadra Venonant #02 - CGC 9.5","Bandai Sealdass","80",""
"img495.jpg","graded","Marshtomp #010/ADV-P - CGC 9","Shogakukan Elementary","60",""
"img496.jpg","graded","Bronzong #TG11/TG30 Error - CGC 8","Astral Radiance","30",""
"img497.jpg","graded","Slowking #019/131 Holoshift Error - CGC 8.5","Prismatic Evolutions","100",""
"img498.jpg","graded","Lightning Energy #109/109 Reverse Holofoil - CGC 10","Ruby & Sapphire","75",""
"img502.jpg","graded","Lt. Surge's Fearow #7/132 1st Edition Ink Error - CGC 6.5","Gym Heroes","125",""
"img503.jpg","graded","Cheryl 159/163 - CGC 9","Battle Styles","15",""
"img504.jpg","graded","Cynthia's Ambition #239/172 - CGC 10","VSTAR Universe","80",""
"img507.jpg","graded","Clefable #1/64 - SGC 8","Jungle Set","40",""
"img508.jpg","graded","Staryu #004/034 - AGS 10","Classic Collection","10",""
"img509.jpg","graded","Sandy Shocks ex #083/066 - AGS 10","Ancient Roar","20",""
"img511.jpg","graded","Charmeleon #002/034 - AGS 9.5","Classic Collection","15",""
"singles_0005.jpg","singles","Reshiram-EX #95 - Heavily Played","Next Destinies","70","singles_0006.jpg"
"singles_0007.jpg","singles","Bianca #147 - Heavily Played","Boundaries Crossed","100","singles_0008.jpg"
"singles_0009.jpg","singles","Fossil Researcher #110 - Near Mint","Furious Fists","60","singles_0010.jpg"
