source_row,sku,type,category,condition_id,raw_condition_descriptor,grader_descriptor,grade_descriptor,shipping_policy,title,price,image_urls,warnings
26,CHELLA-SINGLE-SINGLES-0213,single,183050,4000,400010,,,Shipping-Normal,Grusha #090/071 Scarlet ex Pokemon Card NM,9.99,https://chellacollectibles.com/images/singles_0213.jpg|https://chellacollectibles.com/images/singles_0214.jpg,
27,CHELLA-SINGLE-SINGLES-0221,single,183050,4000,400010,,,Shipping-Normal,Mimikyu VMAX #025/063 Sword & Shield Pokemon Card NM,2.99,https://chellacollectibles.com/images/singles_0221.jpg|https://chellacollectibles.com/images/singles_0222.jpg,
28,CHELLA-SINGLE-SINGLES-0223,single,183050,4000,400010,,,Shipping-Normal,Melmetal V #47 Pokemon GO Pokemon Card NM,0.99,https://chellacollectibles.com/images/singles_0223.jpg|https://chellacollectibles.com/images/singles_0224.jpg,
29,CHELLA-SINGLE-SINGLES-0333,single,183050,4000,400010,,,Shipping-Normal,Mega Diancie ex #41 Phantasmal Flames Pokemon Card NM,0.99,https://chellacollectibles.com/images/singles_0333.jpg|https://chellacollectibles.com/images/singles_0334.jpg,
30,CHELLA-SINGLE-SINGLES-0335,single,183050,4000,400010,,,Shipping-Normal,Mega Diancie ex #41 Phantasmal Flames Pokemon Card NM,0.99,https://chellacollectibles.com/images/singles_0335.jpg|https://chellacollectibles.com/images/singles_0336.jpg,
31,CHELLA-GRADED-IMG431,graded,183050,2750,,275010,275020,Shipping-Normal,Rayquaza EX #75/108 Roaring Skies PSA 10 Pokemon Card,1199.99,https://chellacollectibles.com/images/img431.jpg,
32,CHELLA-GRADED-IMG424,graded,183050,2750,,275010,275020,Shipping-Normal,Mega Charizard X ex #110 M2 Inferno X PSA 10 Pokemon Card,799.99,https://chellacollectibles.com/images/img424.jpg,
33,CHELLA-GRADED-IMG425,graded,183050,2750,,275010,275020,Shipping-Normal,Mega Charizard X ex #110 M2 Inferno X PSA 10 Pokemon Card,799.99,https://chellacollectibles.com/images/img425.jpg,
34,CHELLA-GRADED-IMG426,graded,183050,2750,,275010,275022,Shipping-Normal,Dragonite #149 Holofoil Fossil Set PSA 9 Pokemon Card,749.99,https://chellacollectibles.com/images/img426.jpg,
35,CHELLA-GRADED-IMG428,graded,183050,2750,,275010,275022,Shipping-Normal,Pikachu French Worlds World Collection PSA 9 Pokemon Card,399.99,https://chellacollectibles.com/images/img428.jpg,
36,CHELLA-GRADED-IMG439,graded,183050,2750,,275010,275020,Shipping-Normal,Tohoku's Pikachu #260/SV-P Special Box PC PSA 10 Pokemon Card,524.99,https://chellacollectibles.com/images/img439.jpg,
37,CHELLA-GRADED-IMG427,graded,183050,2750,,275010,275022,Shipping-Normal,Tea Party Pikachu #325 Pokemon Center Kyoto PSA 9 Pokemon Card,499.99,https://chellacollectibles.com/images/img427.jpg,
38,CHELLA-GRADED-IMG604,graded,183050,2750,,275010,275020,Shipping-Normal,Delta Latios #12 Mitsuhiro Arita Holon Phantoms PSA 10 Pokemon Card,1499.99,https://chellacollectibles.com/images/img604.jpg,
39,CHELLA-GRADED-IMG450,graded,183050,2750,,275010,275022,Shipping-Normal,Charizard #006 Red Poker Poker Deck PSA 9 Pokemon Card,499.99,https://chellacollectibles.com/images/img450.jpg,
40,CHELLA-GRADED-IMG455,graded,183050,2750,,275013,275022,Shipping-Normal,Articuno ex #114/112 FireRed & LeafGreen BGS 9 Pokemon Card,599.99,https://chellacollectibles.com/images/img455.jpg,
41,CHELLA-GRADED-IMG456,graded,183050,2750,,275013,275025,Shipping-Normal,Charizard #100/97 Dragon BGS 7.5 Pokemon Card,849.99,https://chellacollectibles.com/images/img456.jpg,
42,CHELLA-GRADED-IMG457,graded,183050,2750,,275013,275022,Shipping-Normal,Gyarados #6/102 Square Cut Base BGS 9 Pokemon Card,999.99,https://chellacollectibles.com/images/img457.jpg,
43,CHELLA-GRADED-IMG600,graded,183050,2750,,275015,275020,Shipping-Normal,Tyranitar V #077/070 Single Strike Master CGC 10 Pokemon Card,499.99,https://chellacollectibles.com/images/img600.jpg,
44,CHELLA-GRADED-IMG601,graded,183050,2750,,275015,275020,Shipping-Normal,Charizard VSTAR #118/100 Star Birth CGC 10 Pokemon Card,749.99,https://chellacollectibles.com/images/img601.jpg,
45,CHELLA-GRADED-IMG602,graded,183050,2750,,275015,275020,Shipping-Normal,Koraidon ex #103/078 Scarlet ex CGC 10 Pokemon Card,399.99,https://chellacollectibles.com/images/img602.jpg,
46,CHELLA-GRADED-IMG603,graded,183050,2750,,275015,275020,Shipping-Normal,Venusaur #03 Topps Spectra Topps Chrome CGC 10 Pokemon Card,449.99,https://chellacollectibles.com/images/img603.jpg,
47,CHELLA-GRADED-IMG476,graded,183050,2750,,275015,275020,Shipping-Normal,Blastoise #09 Topps Chrome CGC 10 Pokemon Card,1999.99,https://chellacollectibles.com/images/img476.jpg,
48,CHELLA-GRADED-IMG477,graded,183050,2750,,275015,275020,Shipping-Normal,Charmander #04 Topps Chrome CGC 10 Pokemon Card,299.99,https://chellacollectibles.com/images/img477.jpg,
49,CHELLA-GRADED-IMG478,graded,183050,2750,,275015,275023,Shipping-Normal,Umbreon 068/092 Holofoil The Town on No Map CGC 8.5 Pokemon Card,1749.99,https://chellacollectibles.com/images/img478.jpg,
50,CHELLA-GRADED-IMG512,graded,183050,2750,,275010,275020,Shipping-Normal,Gengar VMAX 181/S-P Inteleon VS Gengar Winner PSA 10 Pokemon Card,1199.99,https://chellacollectibles.com/images/img512.jpg,
51,CHELLA-GRADED-IMG513,graded,183050,2750,,275010,275020,Shipping-Normal,Gengar VMAX 181/S-P Inteleon VS Gengar Winner PSA 10 Pokemon Card,1199.99,https://chellacollectibles.com/images/img513.jpg,
52,CHELLA-GRADED-IMG516,graded,183050,2750,,275010,275022,Shipping-Normal,Victini 265/SV-P BWR Event Prize PSA 9 Pokemon Card,499.99,https://chellacollectibles.com/images/img516.jpg,
53,CHELLA-GRADED-IMG479,graded,183050,2750,,275015,275023,Shipping-Normal,Golem #76 Sparkle Topps Chrome CGC 8.5 Pokemon Card,299.99,https://chellacollectibles.com/images/img479.jpg,
54,CHELLA-GRADED-IMG474,graded,183050,2750,,275015,275023,Shipping-Normal,Ash's Pikachu GX #005/026 Deck Kit CGC 8.5 Pokemon Card,349.99,https://chellacollectibles.com/images/img474.jpg,
55,CHELLA-GRADED-IMG452,graded,183050,2750,,275010,275022,Shipping-Normal,Nachtara #32/144 Skyridge PSA 9 Pokemon Card,449.99,https://chellacollectibles.com/images/img452.jpg,
56,CHELLA-GRADED-IMG432,graded,183050,2750,,275010,275024,Shipping-Normal,Blastoise #2/130 Base Set 2 PSA 8 Pokemon Card,239.99,https://chellacollectibles.com/images/img432.jpg,
57,CHELLA-GRADED-IMG433,graded,183050,2750,,275010,275024,Shipping-Normal,Raichu #14/102 Base PSA 8 Pokemon Card,129.99,https://chellacollectibles.com/images/img433.jpg,
58,CHELLA-GRADED-IMG434,graded,183050,2750,,275010,275024,Shipping-Normal,Raichu #14/102 Base PSA 8 Pokemon Card,129.99,https://chellacollectibles.com/images/img434.jpg,
59,CHELLA-GRADED-IMG435,graded,183050,2750,,275010,275024,Shipping-Normal,Poliwrath #13/102 Base PSA 8 Pokemon Card,79.99,https://chellacollectibles.com/images/img435.jpg,
60,CHELLA-GRADED-IMG436,graded,183050,2750,,275010,275024,Shipping-Normal,Snorlax #11/64 Jungle Set PSA 8 Pokemon Card,249.99,https://chellacollectibles.com/images/img436.jpg,
61,CHELLA-GRADED-IMG517,graded,183050,2750,,275010,275022,Shipping-Normal,Taipei's Pikachu #057/SV-P Pokemon Center Taipei PSA 9 Pokemon Card,109.99,https://chellacollectibles.com/images/img517.jpg,
