source_row,sku,type,category,condition_id,raw_condition_descriptor,grader_descriptor,grade_descriptor,shipping_policy,title,price,image_urls,warnings
2,CHELLA-GRADED-IMG611,graded,183050,2750,,2750123,275022,Shipping-Normal,Charizard Lizardon #No. 006 Sealdass Prism ARS 9 Pokemon Card,399.99,https://chellacollectibles.com/images/img611.jpg|https://chellacollectibles.com/images/img612.jpg,
3,CHELLA-GRADED-IMG613,graded,183050,2750,,2750123,275020,Shipping-Normal,Cramorant #226/S-P Stamp Box Promo ARS 10 Pokemon Card,899.99,https://chellacollectibles.com/images/img613.jpg|https://chellacollectibles.com/images/img614.jpg,
4,CHELLA-GRADED-IMG615,graded,183050,2750,,2750123,275022,Shipping-Normal,Snorlax #143 CD Promo ARS 9 Pokemon Card,499.99,https://chellacollectibles.com/images/img615.jpg|https://chellacollectibles.com/images/img616.jpg,
5,CHELLA-GRADED-IMG617,graded,183050,2750,,2750123,275020,Shipping-Normal,Blastoise #003/032 Classic Collection ARS 10 Pokemon Card,174.99,https://chellacollectibles.com/images/img617.jpg|https://chellacollectibles.com/images/img618.jpg,
